order_line_number,quantity, price , sale_total ,order_date,quarter,product_code,customer_name,deal_size
10206-4,21,53.33,1119.93,2003-12-05,4,S18_4668,Canadian Gift Exchange Network,Small
10215-1,46,45.28,2082.88,2004-01-29,1,S18_4668,West Coast Collectables Co.,Small
10229-14,39,40.25,1569.75,2004-03-11,1,S18_4668,Mini Gifts Distributors Ltd.,Small
10245-7,45,59.87,2694.15,2004-05-04,2,S18_4668,Super Scale Inc.,Small
10258-4,21,59.87,1257.27,2004-06-15,2,S18_4668,"Tokyo Collectables, Ltd",Small
10270-7,44,58.36,2567.84,2004-07-19,3,S18_4668,Souveniers And Things Co.,Small
10281-14,44,59.87,2634.28,2004-08-19,3,S18_4668,Diecast Classics Inc.,Small
10291-9,29,51.82,1502.78,2004-09-08,3,S18_4668,Scandinavian Gift Ideas,Small
10304-4,34,49.3,1676.2,2004-10-11,4,S18_4668,Auto Assoc. & Cie.,Small
10312-1,39,56.85,2217.15,2004-10-21,4,S18_4668,Mini Gifts Distributors Ltd.,Small
10324-6,38,100,6832.02,2004-11-05,4,S18_4668,Vitachrome Inc.,Medium
10333-8,24,79.86,1916.64,2004-11-18,4,S18_4668,Mini Wheels Co.,Small
10348-6,29,100,7110.8,2004-11-01,4,S18_4668,"Corrida Auto Replicas, Ltd",Large
10358-8,30,100,5302.8,2004-12-10,4,S18_4668,Euro Shopping Channel,Medium
10370-2,20,100,2730,2005-01-20,1,S18_4668,"Anna's Decorations, Ltd",Small
10382-2,39,100,7827.3,2005-02-17,1,S18_4668,Mini Gifts Distributors Ltd.,Large
10411-7,35,59.87,2095.45,2005-05-01,2,S18_4668,Quebec Home Shopping Network,Small
10424-4,26,59.87,1556.62,2005-05-31,2,S18_4668,Euro Shopping Channel,Small
10108-11,44,100,5565.12,2003-03-03,1,S18_4721,Cruz & Sons Co.,Medium
10122-15,28,100,3583.16,2003-05-08,2,S18_4721,Marseille Mini Autos,Medium
10135-12,31,100,4705.18,2003-07-02,3,S18_4721,Mini Gifts Distributors Ltd.,Medium
10146-1,29,100,4444.54,2003-09-03,3,S18_4721,Gift Ideas Corp.,Medium
10159-7,32,100,4618.88,2003-10-10,4,S18_4721,Corporate Gift Ideas Co.,Medium
10169-7,33,100,4910.4,2003-11-04,4,S18_4721,"Anna's Decorations, Ltd",Medium
10180-2,44,100,5565.12,2003-11-11,4,S18_4721,Daedalus Designs Imports,Medium
10191-8,32,100,4237.76,2003-11-20,4,S18_4721,"Toms Spezialitten, Ltd",Medium
10211-7,41,100,5673.58,2004-01-15,1,S18_4721,Auto Canal Petit,Medium
10225-14,35,100,5260.15,2004-02-22,1,S18_4721,"Vida Sport, Ltd",Medium
10238-8,44,100,6350.96,2004-04-09,2,S18_4721,Danish Wholesale Imports,Medium
10252-4,26,100,3559.4,2004-05-26,2,S18_4721,Auto Canal Petit,Medium
10264-2,20,100,2410.6,2004-06-30,2,S18_4721,Gifts4AllAges.com,Small
10276-8,48,100,5713.92,2004-08-02,3,S18_4721,Online Mini Collectables,Medium
10287-17,34,100,4300.32,2004-08-30,3,S18_4721,"Vida Sport, Ltd",Medium
10299-2,49,100,7947.31,2004-09-30,3,S18_4721,"Toys of Finland, Co.",Large
10310-15,40,100,5356.8,2004-10-16,4,S18_4721,"Toms Spezialitten, Ltd",Medium
10319-3,45,100,7901.1,2004-11-03,4,S18_4721,Microscale Inc.,Large
10330-4,50,100,6101,2004-11-16,4,S18_4721,Cruz & Sons Co.,Medium
10342-11,38,100,6276.46,2004-11-24,4,S18_4721,"Australian Collectors, Co.",Medium
10355-2,25,100,4203.5,2004-12-07,4,S18_4721,Euro Shopping Channel,Medium
10363-13,28,58.18,1629.04,2005-01-06,1,S18_4721,Suominen Souveniers,Small
10378-8,49,67.14,3289.86,2005-02-10,1,S18_4721,Euro Shopping Channel,Medium
10390-3,49,100,6862.94,2005-03-04,1,S18_4721,Mini Gifts Distributors Ltd.,Medium
10110-9,42,61.29,2574.18,2003-03-18,1,S18_4933,"AV Stores, Co.",Small
10124-8,23,57.73,1327.79,2003-05-21,2,S18_4933,Signal Gift Stores,Small
10148-2,29,81.25,2356.25,2003-09-11,3,S18_4933,"Anna's Decorations, Ltd",Small
10161-1,25,80.54,2013.5,2003-10-17,4,S18_4933,Heintze Collectables,Small
10173-15,39,71.98,2807.22,2003-11-05,4,S18_4933,Rovelli Gifts,Small
10182-12,44,69.84,3072.96,2003-11-12,4,S18_4933,Mini Gifts Distributors Ltd.,Medium
10193-16,25,76.26,1906.5,2003-11-21,4,S18_4933,"Australian Collectables, Ltd",Small
10204-6,45,76.26,3431.7,2003-12-02,4,S18_4933,Muscle Machine Inc,Medium
10213-2,25,83.39,2084.75,2004-01-22,1,S18_4933,"Double Decker Gift Stores, Ltd",Small
10227-12,37,57.73,2136.01,2004-03-02,1,S18_4933,"Saveley & Henriot, Co.",Small
10241-4,30,66.99,2009.7,2004-04-13,2,S18_4933,Mini Caravy,Small
10267-1,36,75.55,2719.8,2004-07-07,3,S18_4933,Muscle Machine Inc,Small
10279-1,26,60.58,1575.08,2004-08-09,3,S18_4933,Euro Shopping Channel,Small
10288-7,23,73.41,1688.43,2004-09-01,3,S18_4933,Handji Gifts& Co,Small
10302-3,23,72.7,1672.1,2003-10-06,4,S18_4933,"UK Collectables, Ltd.",Small
10311-2,25,66.99,1674.75,2004-10-16,4,S18_4933,Euro Shopping Channel,Small
10332-3,21,100,3472.98,2004-11-17,4,S18_4933,"AV Stores, Co.",Medium
10344-5,26,63.43,1649.18,2004-11-25,4,S18_4933,Marseille Mini Autos,Small
10367-9,44,85.25,3751,2005-01-12,1,S18_4933,Toys4GrownUps.com,Medium
10380-2,24,100,4536,2005-02-16,1,S18_4933,Euro Shopping Channel,Medium
10407-4,66,66.99,4421.34,2005-04-22,2,S18_4933,The Sharp Gifts Warehouse,Medium
10420-7,36,57.73,2078.28,2005-05-29,2,S18_4933,Souveniers And Things Co.,Small
10110-13,36,85.25,3069,2003-03-18,1,S24_1046,"AV Stores, Co.",Medium
10124-12,22,77.9,1713.8,2003-05-21,2,S24_1046,Signal Gift Stores,Small
10148-6,25,60.26,1506.5,2003-09-11,3,S24_1046,"Anna's Decorations, Ltd",Small
10161-5,37,72.76,2692.12,2003-10-17,4,S24_1046,Heintze Collectables,Small
10172-3,32,75.69,2422.08,2003-11-05,4,S24_1046,Gift Depot Inc.,Small
10182-16,47,74.22,3488.34,2003-11-12,4,S24_1046,Mini Gifts Distributors Ltd.,Medium
10192-4,37,69.82,2583.34,2003-11-20,4,S24_1046,Online Diecast Creations Co.,Small
10204-10,20,62.47,1249.4,2003-12-02,4,S24_1046,Muscle Machine Inc,Small
10212-3,41,82.31,3374.71,2004-01-16,1,S24_1046,Euro Shopping Channel,Medium
10226-1,21,60.26,1265.46,2004-02-26,1,S24_1046,Collectable Mini Designs Co.,Small
10241-8,22,76.43,1681.46,2004-04-13,2,S24_1046,Mini Caravy,Small
10267-5,40,80.1,3204,2004-07-07,3,S24_1046,Muscle Machine Inc,Medium
10279-5,32,74.96,2398.72,2004-08-09,3,S24_1046,Euro Shopping Channel,Small
10288-11,36,66.14,2381.04,2004-09-01,3,S24_1046,Handji Gifts& Co,Small
10301-1,27,72.02,1944.54,2003-10-05,4,S24_1046,"Norway Gifts By Mail, Co.",Small
10311-6,26,87.45,2273.7,2004-10-16,4,S24_1046,Euro Shopping Channel,Small
10321-3,30,70.55,2116.5,2004-11-04,4,S24_1046,FunGiftIdeas.com,Small
10332-4,23,56.84,1307.32,2004-11-17,4,S24_1046,"AV Stores, Co.",Small
10344-7,29,59.53,1726.37,2004-11-25,4,S24_1046,Marseille Mini Autos,Small
10367-10,21,60.37,1267.77,2005-01-12,1,S24_1046,Toys4GrownUps.com,Small
10380-3,34,100,3441.82,2005-02-16,1,S24_1046,Euro Shopping Channel,Medium
10407-8,26,76.43,1987.18,2005-04-22,2,S24_1046,The Sharp Gifts Warehouse,Small
10420-11,60,64.67,3880.2,2005-05-29,2,S24_1046,Souveniers And Things Co.,Medium
10104-6,35,55.49,1942.15,2003-01-31,1,S24_1444,Euro Shopping Channel,Small
10115-2,47,69.36,3259.92,2003-04-04,2,S24_1444,Classic Legends Inc.,Medium
10127-8,20,60.69,1213.8,2003-06-03,2,S24_1444,Muscle Machine Inc,Small
10141-2,20,54.33,1086.6,2003-08-01,3,S24_1444,Suominen Souveniers,Small
10152-4,25,65.31,1632.75,2003-09-25,3,S24_1444,"Australian Gift Network, Co",Small
10165-9,25,69.36,1734,2003-10-22,4,S24_1444,"Dragon Souveniers, Ltd.",Small
10176-8,27,68.78,1857.06,2003-11-06,4,S24_1444,L'ordine Souveniers,Small
10184-3,31,60.11,1863.41,2003-11-14,4,S24_1444,"Iberia Gift Imports, Corp.",Small
10195-3,44,66.47,2924.68,2003-11-25,4,S24_1444,Mini Classics,Small
10207-4,49,46.82,2294.18,2003-12-09,4,S24_1444,Diecast Collectables,Small
10220-8,26,56.07,1457.82,2004-02-12,1,S24_1444,"Clover Collections, Co.",Small
10230-6,36,54.33,1955.88,2004-03-15,1,S24_1444,"Blauer See Auto, Co.",Small
10246-2,44,52.6,2314.4,2004-05-05,2,S24_1444,Euro Shopping Channel,Small
10259-1,28,46.82,1310.96,2004-06-15,2,S24_1444,Handji Gifts& Co,Small
10271-2,45,64.74,2913.3,2004-07-20,3,S24_1444,Mini Gifts Distributors Ltd.,Small
10282-11,29,46.82,1357.78,2004-08-20,3,S24_1444,Mini Gifts Distributors Ltd.,Small
10292-5,40,53.75,2150,2004-09-08,3,S24_1444,Land of Toys Inc.,Small
10305-2,45,61.85,2783.25,2004-10-13,4,S24_1444,Marta's Replicas Co.,Small
10314-11,44,53.18,2339.92,2004-10-22,4,S24_1444,Heintze Collectables,Small
10324-14,25,69.16,1729,2004-11-05,4,S24_1444,Vitachrome Inc.,Small
10336-4,45,100,5972.4,2004-11-20,4,S24_1444,"La Corne D'abondance, Co.",Medium
10349-4,48,47.4,2275.2,2004-12-01,4,S24_1444,Muscle Machine Inc,Small
10358-14,44,60.76,2673.44,2004-12-10,4,S24_1444,Euro Shopping Channel,Small
10371-12,25,97.27,2431.75,2005-01-23,1,S24_1444,Mini Gifts Distributors Ltd.,Small
10383-2,22,91.76,2018.72,2005-02-22,1,S24_1444,Euro Shopping Channel,Small
10394-2,31,50.29,1558.99,2005-03-15,1,S24_1444,Euro Shopping Channel,Small
10412-2,21,52.6,1104.6,2005-05-03,2,S24_1444,Euro Shopping Channel,Small
10425-1,55,46.82,2575.1,2005-05-31,2,S24_1444,La Rochelle Gifts,Small
10107-3,25,100,2845.75,2003-02-24,1,S24_1578,Land of Toys Inc.,Small
10120-1,35,98.05,3431.75,2003-04-29,2,S24_1578,"Australian Collectors, Co.",Medium
10134-3,35,93.54,3273.9,2003-07-01,3,S24_1578,Lyon Souveniers,Medium
10145-7,43,95.8,4119.4,2003-08-25,3,S24_1578,Toys4GrownUps.com,Medium
10159-15,44,100,5355.68,2003-10-10,4,S24_1578,Corporate Gift Ideas Co.,Medium
10168-2,50,100,5747.5,2003-10-28,4,S24_1578,Technics Stores Inc.,Medium
10180-10,48,100,5355.36,2003-11-11,4,S24_1578,Daedalus Designs Imports,Medium
10188-2,25,100,2535.75,2003-11-18,4,S24_1578,Herkku Gifts,Small
10201-3,39,100,4351.23,2003-12-01,4,S24_1578,Mini Wheels Co.,Medium
10211-15,25,90.16,2254,2004-01-15,1,S24_1578,Auto Canal Petit,Small
10223-2,32,91.29,2921.28,2004-02-20,1,S24_1578,"Australian Collectors, Co.",Small
10237-8,20,100,2299,2004-04-05,2,S24_1578,Vitachrome Inc.,Small
10251-3,26,100,2637.18,2004-05-18,2,S24_1578,Tekni Collectables Inc.,Small
10263-3,42,100,4307.52,2004-06-28,2,S24_1578,Gift Depot Inc.,Medium
10275-2,21,100,2153.76,2004-07-23,3,S24_1578,La Rochelle Gifts,Small
10285-7,34,100,3716.88,2004-08-27,3,S24_1578,Marta's Replicas Co.,Medium
10299-10,47,100,5455.76,2004-09-30,3,S24_1578,"Toys of Finland, Co.",Medium
10309-6,21,100,2650.62,2004-10-15,4,S24_1578,Baane Mini Imports,Small
10318-2,48,100,6437.28,2004-11-02,4,S24_1578,Diecast Classics Inc.,Medium
10329-7,30,87.78,2633.4,2004-11-15,4,S24_1578,Land of Toys Inc.,Small
10339-10,27,84.39,2278.53,2004-11-23,4,S24_1578,"Tokyo Collectables, Ltd",Small
10362-2,50,96.92,4846,2005-01-05,1,S24_1578,Technics Stores Inc.,Medium
10374-6,38,100,4197.1,2005-02-02,1,S24_1578,"Australian Gift Network, Co",Medium
10389-1,45,100,4597.65,2005-03-03,1,S24_1578,Scandinavian Gift Ideas,Medium
10403-8,46,100,5287.7,2005-04-08,2,S24_1578,"UK Collectables, Ltd.",Medium
10417-3,35,100,3550.05,2005-05-13,2,S24_1578,Euro Shopping Channel,Medium
10110-15,29,59.37,1721.73,2003-03-18,1,S24_1628,"AV Stores, Co.",Small
10123-1,50,59.87,2993.5,2003-05-20,2,S24_1628,Atelier graphique,Small
10137-1,26,49.81,1295.06,2003-07-10,3,S24_1628,Reims Collectables,Small
10148-8,47,56.85,2671.95,2003-09-11,3,S24_1628,"Anna's Decorations, Ltd",Small
10161-7,23,53.33,1226.59,2003-10-17,4,S24_1628,Heintze Collectables,Small
10172-5,34,42.76,1453.84,2003-11-05,4,S24_1628,Gift Depot Inc.,Small
10181-1,34,53.83,1830.22,2003-11-12,4,S24_1628,Herkku Gifts,Small
10192-6,47,53.83,2530.01,2003-11-20,4,S24_1628,Online Diecast Creations Co.,Small
10204-12,45,49.81,2241.45,2003-12-02,4,S24_1628,Muscle Machine Inc,Small
10212-5,45,53.33,2399.85,2004-01-16,1,S24_1628,Euro Shopping Channel,Small
10226-3,36,43.27,1557.72,2004-02-26,1,S24_1628,Collectable Mini Designs Co.,Small
10241-10,21,40.25,845.25,2004-04-13,2,S24_1628,Mini Caravy,Small
10266-1,28,48.3,1352.4,2004-07-06,3,S24_1628,L'ordine Souveniers,Small
10278-1,35,45.28,1584.8,2004-08-06,3,S24_1628,Signal Gift Stores,Small
10288-13,50,52.32,2616,2004-09-01,3,S24_1628,Handji Gifts& Co,Small
10301-3,22,51.32,1129.04,2003-10-05,4,S24_1628,"Norway Gifts By Mail, Co.",Small
10311-8,45,49.3,2218.5,2004-10-16,4,S24_1628,Euro Shopping Channel,Small
10321-5,48,42.26,2028.48,2004-11-04,4,S24_1628,FunGiftIdeas.com,Small
10332-5,20,87.96,1759.2,2004-11-17,4,S24_1628,"AV Stores, Co.",Small
10343-6,27,36.21,977.67,2004-11-24,4,S24_1628,Reims Collectables,Small
10367-11,38,38.5,1463,2005-01-12,1,S24_1628,Toys4GrownUps.com,Small
10379-3,32,100,3970.56,2005-02-10,1,S24_1628,Euro Shopping Channel,Medium
10407-10,64,40.25,2576,2005-04-22,2,S24_1628,The Sharp Gifts Warehouse,Small
10420-13,37,60.37,2233.69,2005-05-29,2,S24_1628,Souveniers And Things Co.,Small
10106-4,28,88.63,2481.64,2003-02-17,1,S24_1785,Rovelli Gifts,Small
10120-10,39,100,4651.53,2003-04-29,2,S24_1785,"Australian Collectors, Co.",Medium
10133-5,41,94.1,3858.1,2003-06-27,2,S24_1785,Euro Shopping Channel,Medium
10145-16,40,87.54,3501.6,2003-08-25,3,S24_1785,Toys4GrownUps.com,Medium
10168-11,49,100,6433.7,2003-10-28,4,S24_1785,Technics Stores Inc.,Medium
10210-9,27,98.48,2658.96,2004-01-12,1,S24_1785,Osaka Souveniers Co.,Small
10223-11,34,100,3608.76,2004-02-20,1,S24_1785,"Australian Collectors, Co.",Medium
10235-5,23,96.29,2214.67,2004-04-02,2,S24_1785,"Royal Canadian Collectables, Ltd.",Small
10250-6,31,88.63,2747.53,2004-05-11,2,S24_1785,The Sharp Gifts Warehouse,Small
10262-1,34,97.38,3310.92,2004-06-24,2,S24_1785,Euro Shopping Channel,Medium
10275-11,25,95.2,2380,2004-07-23,3,S24_1785,La Rochelle Gifts,Small
10284-3,22,100,2310.88,2004-08-21,3,S24_1785,"Norway Gifts By Mail, Co.",Small
10297-6,32,100,4061.76,2004-09-16,3,S24_1785,"Clover Collections, Co.",Medium
10308-9,31,100,3493.7,2004-10-15,4,S24_1785,Mini Classics,Medium
10316-1,25,100,2872.25,2004-11-01,4,S24_1785,giftsbymail.co.uk,Small
10328-14,47,87.54,4114.38,2004-11-12,4,S24_1785,Rovelli Gifts,Medium
10339-7,21,50.65,1063.65,2004-11-23,4,S24_1785,"Tokyo Collectables, Ltd",Small
10353-2,28,71.73,2008.44,2004-12-04,4,S24_1785,Gift Ideas Corp.,Small
10374-3,46,94.1,4328.6,2005-02-02,1,S24_1785,"Australian Gift Network, Co",Medium
10386-11,33,41.71,1376.43,2005-03-01,1,S24_1785,Euro Shopping Channel,Small
10398-16,43,100,5552.16,2005-03-30,1,S24_1785,Reims Collectables,Medium
10401-5,38,96.29,3659.02,2005-04-03,2,S24_1785,Tekni Collectables Inc.,Medium
10416-6,47,88.63,4165.61,2005-05-10,2,S24_1785,L'ordine Souveniers,Medium
10101-3,45,31.2,1404,2003-01-09,1,S24_1937,"Blauer See Auto, Co.",Small
10110-3,20,35.51,710.2,2003-03-18,1,S24_1937,"AV Stores, Co.",Small
10124-2,45,37.84,1702.8,2003-05-21,2,S24_1937,Signal Gift Stores,Small
10149-7,36,33.19,1194.84,2003-09-12,3,S24_1937,Signal Collectibles Ltd.,Small
10162-5,37,27.22,1007.14,2003-10-18,4,S24_1937,Corporate Gift Ideas Co.,Small
10173-9,31,31.53,977.43,2003-11-05,4,S24_1937,Rovelli Gifts,Small
10182-6,39,36.84,1436.76,2003-11-12,4,S24_1937,Mini Gifts Distributors Ltd.,Small
10193-10,26,29.21,759.46,2003-11-21,4,S24_1937,"Australian Collectables, Ltd",Small
10205-5,32,37.17,1189.44,2003-12-03,4,S24_1937,Euro Shopping Channel,Small
10214-3,20,34.19,683.8,2004-01-26,1,S24_1937,"Corrida Auto Replicas, Ltd",Small
10227-6,42,29.21,1226.82,2004-03-02,1,S24_1937,"Saveley & Henriot, Co.",Small
10243-1,33,29.54,974.82,2004-04-26,2,S24_1937,Diecast Collectables,Small
10280-12,20,28.88,577.6,2004-08-17,3,S24_1937,Amica Models & Co.,Small
10288-1,29,38.17,1106.93,2004-09-01,3,S24_1937,Handji Gifts& Co,Small
10304-16,23,30.2,694.6,2004-10-11,4,S24_1937,Auto Assoc. & Cie.,Small
10312-13,39,29.54,1152.06,2004-10-21,4,S24_1937,Mini Gifts Distributors Ltd.,Small
10322-3,20,100,2624,2004-11-04,4,S24_1937,Online Diecast Creations Co.,Small
10332-6,45,81.91,3685.95,2004-11-17,4,S24_1937,"AV Stores, Co.",Medium
10344-6,20,35.18,703.6,2004-11-25,4,S24_1937,Marseille Mini Autos,Small
10356-5,48,100,9720,2004-12-09,4,S24_1937,Lyon Souveniers,Large
10367-13,23,36.29,834.67,2005-01-12,1,S24_1937,Toys4GrownUps.com,Small
10380-4,32,70.56,2257.92,2005-02-16,1,S24_1937,Euro Shopping Channel,Small
10391-8,33,100,8344.71,2005-03-09,1,S24_1937,"Anna's Decorations, Ltd",Large
10409-1,61,29.54,1801.94,2005-04-23,2,S24_1937,Handji Gifts& Co,Small
10420-1,45,26.88,1209.6,2005-05-29,2,S24_1937,Souveniers And Things Co.,Small
10107-7,38,83.03,3155.14,2003-02-24,1,S24_2000,Land of Toys Inc.,Medium
10120-5,34,83.79,2848.86,2003-04-29,2,S24_2000,"Australian Collectors, Co.",Small
10134-7,43,83.03,3570.29,2003-07-01,3,S24_2000,Lyon Souveniers,Medium
10145-11,47,83.03,3902.41,2003-08-25,3,S24_2000,Toys4GrownUps.com,Medium
10158-1,22,67.03,1474.66,2003-10-10,4,S24_2000,Baane Mini Imports,Small
10168-6,29,75.41,2186.89,2003-10-28,4,S24_2000,Technics Stores Inc.,Small
10180-14,28,68.55,1919.4,2003-11-11,4,S24_2000,Daedalus Designs Imports,Small
10188-6,40,91.4,3656,2003-11-18,4,S24_2000,Herkku Gifts,Medium
10201-7,25,73.88,1847,2003-12-01,4,S24_2000,Mini Wheels Co.,Small
10210-4,30,61.7,1851,2004-01-12,1,S24_2000,Osaka Souveniers Co.,Small
10223-6,38,69.31,2633.78,2004-02-20,1,S24_2000,"Australian Collectors, Co.",Small
10236-3,36,87.6,3153.6,2004-04-03,2,S24_2000,Motor Mint Distributors Inc.,Medium
10250-1,32,87.6,2803.2,2004-05-11,2,S24_2000,The Sharp Gifts Warehouse,Small
10263-7,37,62.46,2311.02,2004-06-28,2,S24_2000,Gift Depot Inc.,Small
10275-6,30,79.98,2399.4,2004-07-23,3,S24_2000,La Rochelle Gifts,Small
10285-11,39,70.08,2733.12,2004-08-27,3,S24_2000,Marta's Replicas Co.,Small
10297-1,32,65.51,2096.32,2004-09-16,3,S24_2000,"Clover Collections, Co.",Small
10308-4,47,63.22,2971.34,2004-10-15,4,S24_2000,Mini Classics,Small
10318-6,26,86.83,2257.58,2004-11-02,4,S24_2000,Diecast Classics Inc.,Small
10329-4,37,94.43,3493.91,2004-11-15,4,S24_2000,Land of Toys Inc.,Medium
10340-8,55,79.98,4398.9,2004-11-24,4,S24_2000,Enaco Distributors,Medium
10363-8,21,100,3595.62,2005-01-06,1,S24_2000,Suominen Souveniers,Medium
10375-9,23,100,2443.29,2005-02-03,1,S24_2000,La Rochelle Gifts,Small
10389-2,49,81.4,3988.6,2005-03-03,1,S24_2000,Scandinavian Gift Ideas,Medium
10402-3,59,87.6,5168.4,2005-04-07,2,S24_2000,Auto Canal Petit,Medium
10416-1,32,87.6,2803.2,2005-05-10,2,S24_2000,L'ordine Souveniers,Small
10105-9,43,100,6341.21,2003-02-11,1,S24_2011,Danish Wholesale Imports,Medium
10117-3,41,100,5189.78,2003-04-16,2,S24_2011,"Dragon Souveniers, Ltd.",Medium
10129-9,45,100,6027.75,2003-06-12,2,S24_2011,"Stylish Desk Decors, Co.",Medium
10142-6,33,100,3366,2003-08-08,3,S24_2011,Mini Gifts Distributors Ltd.,Medium
10153-5,40,100,5456.4,2003-09-28,3,S24_2011,Euro Shopping Channel,Medium
10167-16,33,100,3812.16,2003-10-23,4,S24_2011,Scandinavian Gift Ideas,Medium
10177-7,50,100,6083,2003-11-07,4,S24_2011,CAF Imports,Medium
10185-7,30,100,3170.7,2003-11-14,4,S24_2011,Mini Creations Ltd.,Medium
10197-13,41,100,4534.6,2003-11-26,4,S24_2011,Enaco Distributors,Medium
10208-7,35,100,4301.15,2004-01-02,1,S24_2011,"Saveley & Henriot, Co.",Medium
10221-1,49,100,6804.63,2004-02-18,1,S24_2011,Petit Auto,Medium
10232-4,46,100,5652.94,2004-03-20,1,S24_2011,giftsbymail.co.uk,Medium
10248-10,48,100,6960.48,2004-05-07,2,S24_2011,Land of Toys Inc.,Medium
10261-8,36,100,4512.6,2004-06-17,2,S24_2011,Quebec Home Shopping Network,Medium
10273-11,22,100,2784.76,2004-07-21,3,S24_2011,Petit Auto,Small
10283-13,42,100,5316.36,2004-08-20,3,S24_2011,"Royal Canadian Collectables, Ltd.",Medium
10293-2,21,100,2941.89,2004-09-09,3,S24_2011,Amica Models & Co.,Small
10306-7,29,100,3207.4,2004-10-14,4,S24_2011,"AV Stores, Co.",Medium
10315-6,35,100,4215.05,2004-10-29,4,S24_2011,La Rochelle Gifts,Medium
10326-4,41,100,4333.29,2004-11-09,4,S24_2011,"Volvo Model Replicas, Co",Medium
10337-4,29,71.97,2087.13,2004-11-21,4,S24_2011,Classic Legends Inc.,Small
10350-7,34,50.33,1711.22,2004-12-02,4,S24_2011,Euro Shopping Channel,Small
10372-8,37,100,3910.53,2005-01-26,1,S24_2011,"Tokyo Collectables, Ltd",Medium
10384-3,28,80.54,2255.12,2005-02-23,1,S24_2011,Corporate Gift Ideas Co.,Small
10396-6,49,100,5720.75,2005-03-23,1,S24_2011,Mini Gifts Distributors Ltd.,Medium
10414-10,23,100,3335.23,2005-05-06,2,S24_2011,Gifts4AllAges.com,Medium
10101-2,46,53.76,2472.96,2003-01-09,1,S24_2022,"Blauer See Auto, Co.",Small
10110-2,39,44.35,1729.65,2003-03-18,1,S24_2022,"AV Stores, Co.",Small
10124-1,22,45.25,995.5,2003-05-21,2,S24_2022,Signal Gift Stores,Small
10149-6,49,49.28,2414.72,2003-09-12,3,S24_2022,Signal Collectibles Ltd.,Small
10162-4,43,36.29,1560.47,2003-10-18,4,S24_2022,Corporate Gift Ideas Co.,Small
10173-8,27,41.22,1112.94,2003-11-05,4,S24_2022,Rovelli Gifts,Small
10182-5,31,36.74,1138.94,2003-11-12,4,S24_2022,Mini Gifts Distributors Ltd.,Small
10193-9,20,50.62,1012.4,2003-11-21,4,S24_2022,"Australian Collectables, Ltd",Small
10205-4,24,38.08,913.92,2003-12-03,4,S24_2022,Euro Shopping Channel,Small
10214-2,49,47.94,2349.06,2004-01-26,1,S24_2022,"Corrida Auto Replicas, Ltd",Small
10227-5,24,48.38,1161.12,2004-03-02,1,S24_2022,"Saveley & Henriot, Co.",Small
10244-9,39,45.25,1764.75,2004-04-29,2,S24_2022,Euro Shopping Channel,Small
10255-2,37,45.7,1690.9,2004-06-04,2,S24_2022,Mini Caravy,Small
10280-11,45,47.49,2137.05,2004-08-17,3,S24_2022,Amica Models & Co.,Small
10289-4,45,48.38,2177.1,2004-09-03,3,S24_2022,Herkku Gifts,Small
10304-15,44,39.42,1734.48,2004-10-11,4,S24_2022,Auto Assoc. & Cie.,Small
10312-12,23,37.63,865.49,2004-10-21,4,S24_2022,Mini Gifts Distributors Ltd.,Small
10322-4,30,100,3500.1,2004-11-04,4,S24_2022,Online Diecast Creations Co.,Medium
10332-10,26,85.52,2223.52,2004-11-17,4,S24_2022,"AV Stores, Co.",Small
10345-1,43,53.76,2311.68,2004-11-25,4,S24_2022,Atelier graphique,Small
10356-7,26,31.86,828.36,2004-12-09,4,S24_2022,Lyon Souveniers,Small
10367-12,28,30.59,856.52,2005-01-12,1,S24_2022,Toys4GrownUps.com,Small
10380-5,27,68.35,1845.45,2005-02-16,1,S24_2022,Euro Shopping Channel,Small
10391-1,24,100,4042.08,2005-03-09,1,S24_2022,"Anna's Decorations, Ltd",Medium
10421-2,40,45.7,1828,2005-05-29,2,S24_2022,Mini Gifts Distributors Ltd.,Small
10103-1,36,100,3680.28,2003-01-29,1,S24_2300,Baane Mini Imports,Medium
10114-5,21,100,2925.09,2003-04-01,2,S24_2300,"La Corne D'abondance, Co.",Small
10126-1,27,100,3415.77,2003-05-28,2,S24_2300,"Corrida Auto Replicas, Ltd",Medium
10140-1,47,100,5105.14,2003-07-24,3,S24_2300,Technics Stores Inc.,Medium
10151-8,42,100,5098.8,2003-09-21,3,S24_2300,"Oulu Toy Supplies, Inc.",Medium
10165-17,32,100,4661.76,2003-10-22,4,S24_2300,"Dragon Souveniers, Ltd.",Medium
10175-6,28,100,2969.96,2003-11-06,4,S24_2300,"Stylish Desk Decors, Co.",Small
10184-11,24,100,3496.32,2003-11-14,4,S24_2300,"Iberia Gift Imports, Corp.",Medium
10194-1,49,100,5760.93,2003-11-25,4,S24_2300,"Saveley & Henriot, Co.",Medium
10207-12,46,100,6819.04,2003-12-09,4,S24_2300,Diecast Collectables,Medium
10217-1,28,100,3148.88,2004-02-04,1,S24_2300,Handji Gifts& Co,Medium
10229-6,48,100,5704.32,2004-03-11,1,S24_2300,Mini Gifts Distributors Ltd.,Medium
10246-10,29,100,3520.6,2004-05-05,2,S24_2300,Euro Shopping Channel,Medium
10259-9,47,100,5285.62,2004-06-15,2,S24_2300,Handji Gifts& Co,Medium
